object_id,session_id,catalog_id,captured_at,name,category,color,size,position_x,position_y,position_z,reserved_1,reserved_2,reserved_3,attributes,primary_image,all_images,num_images
c30ae6a1-66d7-4f08-b495-5394626b10d5,2026-08-18,2cf6f332-3eb8-4540-8f67-6ff8a50ee79e,2026-08-18T23:52:32,red mug,mug,red,,,,,,,,{},/tmp/tmpeb7gxw78/a.jpg,/tmp/tmpeb7gxw78/a.jpg,1
d510b81a-b00e-4473-a293-fcdac2d79d6d,2026-08-18,08ac4d3d-dccd-42ac-afa6-f5f6af12176a,2026-08-18T23:52:32,blue bottle,bottle,blue,,,,,,,,{},/tmp/tmpeb7gxw78/b.jpg,/tmp/tmpeb7gxw78/b.jpg,1
b360cbe5-431c-4c34-bd33-3e8359d918c2,2026-08-19,46e2af3a-90b7-4df1-9c92-ab45dc70085a,2026-08-19T21:28:53,middleman red mug,,,,,,,,,,"{'category': 'mug', 'physical_side_ip': '192.168.1.50'}",/tmp/mm_images/test-sample-id/20260819_212853_station_0.jpg,/tmp/mm_images/test-sample-id/20260819_212853_station_0.jpg,1
6c88ab21-74e1-474c-943a-7d91337462a6,2026-08-19,e1d8a785-244b-44ed-bdba-f7c0a9a69538,2026-08-19T21:29:10,middleman red mug,mug,,,,,,,,,{'physical_side_ip': '192.168.1.50'},/tmp/mm_images/test-sample-id/20260819_212910_station_0.jpg,/tmp/mm_images/test-sample-id/20260819_212910_station_0.jpg,1
04d8600b-4ee1-454c-a6ca-75a38f731018,2026-08-19,98841984-eeb5-45fd-b2a2-21249087de96,2026-08-19T21:32:28,rotated red mug,mug,red,,,,,,,,{},images/middleman/rotation-test-object/20260819_213228_station_0.jpg,images/middleman/rotation-test-object/20260819_213228_station_0.jpg | images/middleman/rotation-test-object/20260819_213228_station_0.jpg | images/middleman/rotation-test-object/20260819_213228_station_0.jpg,3
306311d7-8db5-4825-9af9-1df8553d19a7,2026-08-19,c1d8c84f-8a24-4268-b983-0f73450734ae,2026-08-19T21:33:00,rotated red mug,mug,red,,,,,,,,{},images/middleman/rotation-test-object-2/20260819_213300_station_0.jpg,images/middleman/rotation-test-object-2/20260819_213300_station_0.jpg | images/middleman/rotation-test-object-2/20260819_213300_station_1.jpg | images/middleman/rotation-test-object-2/20260819_213300_station_2.jpg,3
38c38e90-385c-4cf4-82de-31ff3eaea287,2026-08-20,5fe1436a-5a48-4582-a3cf-4186770975aa,2026-08-20T02:38:02,seed red mug,mug,red,,,,,,,,{},/tmp/tmpgbjthjd0/seed.jpg,/tmp/tmpgbjthjd0/seed.jpg | /tmp/tmpgbjthjd0/seed.jpg,2
ca6af24f-1708-4ac8-b3a5-82ea4487df59,2026-08-20,5e213a4b-0f6d-4254-9abb-ff81370dce1a,2026-08-20T02:38:54,seed red mug,mug,red,,,,,,,,{},/tmp/tmpsf3bnczt/seed.jpg,/tmp/tmpsf3bnczt/seed.jpg | /tmp/tmpsf3bnczt/seed.jpg,2
39b93ee8-dbfc-4b31-8e67-b7c56db110e0,2026-08-20,6382cdc1-cc56-41b3-b5b9-fb97283cb294,2026-08-20T03:08:24,large red mug,mug,red,large,15.0,0,0,,,,{'material': 'ceramic'},/tmp/tmplb9pmlwg/a.jpg,/tmp/tmplb9pmlwg/a.jpg,1
23e8e10b-b905-441c-ad2b-e80c03503bd3,2026-08-20,d17ce1c4-d096-4df5-9c83-cdbdb02a5d73,2026-08-20T03:08:24,small blue bottle,bottle,blue,small,2.0,0,0,,,,{},/tmp/tmplb9pmlwg/b.jpg,/tmp/tmplb9pmlwg/b.jpg,1
1d4c8674-4b05-4761-8e72-b11bf662dc3d,2026-08-20,96078586-8188-4088-a4af-e8a5f71f1f38,2026-08-20T03:08:49,large red mug,mug,red,large,15.0,0,0,,,,{'material': 'ceramic'},/tmp/tmpfbaf_g_4/a.jpg,/tmp/tmpfbaf_g_4/a.jpg,1
d88c9d1c-0585-4ee3-8a54-76ff782af9c4,2026-08-20,32309cac-05d5-456e-b443-b56942ebdccb,2026-08-20T03:08:49,small blue bottle,bottle,blue,small,2.0,0,0,,,,{},/tmp/tmpfbaf_g_4/b.jpg,/tmp/tmpfbaf_g_4/b.jpg,1
dd504b9c-4971-44cf-9799-a350a68047cc,2026-08-20,da0d80f7-2f7c-40a9-9743-8c904c068d95,2026-08-20T03:09:00,seed red mug,mug,red,,,,,,,,{},/tmp/tmpf7a43d6x/seed.jpg,/tmp/tmpf7a43d6x/seed.jpg | /tmp/tmpf7a43d6x/seed.jpg,2
02641ee1-6e06-4bb8-bd55-6634141dffbc,2026-08-20,12519b6a-b157-414f-b116-5f06546c49da,2026-08-20T03:09:50,seed red mug,mug,red,,,,,,,,{},/tmp/tmp7pknuwc7/seed.jpg,/tmp/tmp7pknuwc7/seed.jpg | /tmp/tmp7pknuwc7/seed.jpg,2
